codes, ebits, ll_aht, d_aht, ratio
334, 89, 3734, 721, 3.291498
334, 89, 3739, 724, 3.288022
334, 89, 3748, 727, 3.285044
334, 89, 3753, 731, 3.271333
334, 89, 3757, 731, 3.263123
334, 89, 3763, 731, 3.264940
334, 89, 3769, 731, 3.266755
334, 89, 3776, 731, 3.269231
334, 89, 3782, 731, 3.271040
334, 89, 3787, 731, 3.272185
334, 89, 3793, 731, 3.273991
334, 89, 3797, 734, 3.276455
334, 89, 3802, 738, 3.273747
334, 89, 3809, 744, 3.271532
334, 89, 3812, 747, 3.258339
334, 89, 3816, 747, 3.254569
334, 89, 3819, 750, 3.256360
334, 89, 3823, 750, 3.252604
334, 89, 3826, 756, 3.256344
334, 89, 3829, 760, 3.254545
334, 89, 3834, 760, 3.251458
334, 89, 3838, 764, 3.254534
334, 89, 3845, 764, 3.250646
334, 89, 3851, 764, 3.252421
334, 89, 3854, 767, 3.254194
334, 89, 3858, 770, 3.252415
334, 89, 3863, 770, 3.247270
334, 89, 3867, 773, 3.249679
334, 89, 3872, 773, 3.244558
334, 89, 3877, 779, 3.249520
334, 89, 3885, 783, 3.246811
334, 89, 3891, 783, 3.232086
334, 89, 3896, 783, 3.233207
334, 89, 3902, 783, 3.234959
334, 89, 3908, 783, 3.236709
334, 89, 3912, 783, 3.237192
334, 89, 3917, 783, 3.238306
334, 89, 3921, 788, 3.241946
334, 89, 3926, 792, 3.239445
334, 89, 3932, 796, 3.235553
334, 89, 3937, 796, 3.226533
337, 89, 3943, 796, 3.230144
334, 91, 3947, 801, 3.233125
334, 91, 3952, 805, 3.230673
334, 91, 3957, 805, 3.223741
334, 91, 3961, 805, 3.224224
334, 91, 3965, 805, 3.224705
334, 91, 3968, 809, 3.227047
334, 91, 3975, 809, 3.225387
334, 91, 3980, 809, 3.226485
334, 91, 3986, 809, 3.228200
334, 91, 3990, 813, 3.231150
334, 91, 3993, 818, 3.228113
334, 91, 4000, 821, 3.228308
334, 91, 4005, 821, 3.211621
334, 91, 4011, 821, 3.213325
334, 91, 4018, 821, 3.215638
334, 91, 4022, 821, 3.216117
334, 91, 4033, 821, 3.220866
334, 91, 4039, 826, 3.225610
334, 91, 4042, 829, 3.217497
334, 91, 4045, 832, 3.215282
334, 91, 4051, 836, 3.215496
334, 91, 4056, 839, 3.208685
334, 91, 4061, 839, 3.202044
334, 91, 4067, 843, 3.206130
334, 91, 4074, 843, 3.198802
