bytes, codes, ebits, ll_aht, d_aht, ratio
37714, 528, 138, 138535, 11343, 3.991727
37715, 528, 138, 138545, 11343, 3.991887
37716, 528, 138, 138553, 11343, 3.991993
37717, 528, 138, 138562, 11343, 3.992126
37718, 528, 138, 138569, 11343, 3.992205
37719, 528, 138, 138578, 11343, 3.992338
37720, 528, 138, 138587, 11343, 3.992471
37721, 528, 138, 138595, 11343, 3.992577
37722, 528, 138, 138604, 11343, 3.992710
37723, 528, 138, 138613, 11343, 3.992843
37724, 528, 138, 138621, 11343, 3.992949
37725, 528, 138, 138630, 11343, 3.993082
37726, 528, 138, 138638, 11343, 3.993188
37727, 528, 138, 138648, 11343, 3.993347
37728, 528, 138, 138657, 11343, 3.993480
37729, 528, 138, 138665, 11343, 3.993586
37730, 528, 138, 138674, 11343, 3.993719
37731, 528, 138, 138682, 11343, 3.993825
37732, 528, 138, 138690, 11343, 3.993931
37733, 528, 138, 138699, 11343, 3.994064
37734, 528, 138, 138707, 11343, 3.994170
37735, 528, 138, 138716, 11343, 3.994302
37736, 528, 138, 138724, 11343, 3.994409
37737, 528, 138, 138733, 11343, 3.994541
37738, 528, 138, 138742, 11343, 3.994674
37739, 528, 138, 138750, 11343, 3.994780
37740, 528, 138, 138759, 11343, 3.994913
37741, 528, 138, 138767, 11343, 3.995019
37742, 528, 138, 138774, 11343, 3.995098
37743, 528, 138, 138783, 11343, 3.995231
37744, 528, 138, 138792, 11343, 3.995364
37745, 528, 138, 138799, 11343, 3.995443
37746, 528, 138, 138807, 11343, 3.995549
37747, 530, 138, 138816, 11343, 3.995735
37748, 530, 138, 138826, 11343, 3.995894
37749, 530, 138, 138835, 11343, 3.996026
37750, 530, 138, 138845, 11343, 3.996185
37751, 530, 138, 138852, 11343, 3.996265
37752, 530, 138, 138861, 11343, 3.996398
37753, 530, 138, 138870, 11343, 3.996530
37754, 530, 138, 138879, 11343, 3.996663
37755, 529, 138, 138889, 11343, 3.996795
37756, 529, 138, 138898, 11343, 3.996928
37757, 529, 138, 138906, 11343, 3.997034
37758, 529, 138, 138915, 11343, 3.997166
37759, 529, 138, 138924, 11343, 3.997299
37760, 529, 138, 138932, 11343, 3.997405
37761, 529, 138, 138941, 11343, 3.997537
37762, 529, 138, 138950, 11343, 3.997670
37763, 529, 138, 138959, 11343, 3.997802
37764, 529, 138, 138968, 11343, 3.997935
37765, 529, 138, 138977, 11343, 3.998067
37766, 529, 138, 138985, 11343, 3.998173
37767, 529, 138, 138994, 11343, 3.998305
37768, 529, 138, 139002, 11343, 3.998411
37769, 529, 138, 139010, 11343, 3.998517
37770, 529, 138, 139019, 11343, 3.998650
37771, 529, 138, 139026, 11343, 3.998729
37772, 529, 138, 139034, 11343, 3.998835
37773, 529, 138, 139043, 11343, 3.998968
37774, 529, 138, 139051, 11343, 3.999073
37775, 529, 138, 139059, 11343, 3.999179
37776, 529, 138, 139068, 11343, 3.999312
37777, 529, 138, 139076, 11343, 3.999418
37780, 529, 138, 139079, 11347, 3.999285
37784, 529, 138, 139085, 11355, 3.999232
37785, 529, 138, 139093, 11355, 3.999338
37786, 529, 138, 139100, 11355, 3.999418
37787, 529, 138, 139107, 11355, 3.999497
37788, 529, 138, 139116, 11355, 3.999630
37789, 529, 138, 139123, 11355, 3.999709
37790, 529, 138, 139131, 11355, 3.999815
37791, 529, 138, 139140, 11355, 3.999947
37792, 529, 138, 139147, 11355, 4.000026
37793, 529, 138, 139154, 11355, 4.000106
37796, 529, 138, 139157, 11360, 4.000000
37797, 529, 138, 139166, 11360, 4.000132
37798, 529, 138, 139173, 11360, 4.000212
37802, 529, 138, 139179, 11368, 4.000159
37806, 529, 138, 139185, 11373, 4.000026
37809, 529, 138, 139188, 11377, 3.999894
37812, 529, 138, 139191, 11382, 3.999788
37813, 529, 138, 139200, 11382, 3.999921
37814, 529, 138, 139209, 11382, 4.000053
37815, 529, 138, 139219, 11382, 4.000212
37816, 529, 138, 139228, 11382, 4.000344
37817, 529, 138, 139237, 11382, 4.000476
37818, 529, 138, 139246, 11382, 4.000608
37819, 529, 138, 139255, 11382, 4.000740
37820, 529, 138, 139264, 11382, 4.000873
37821, 529, 138, 139273, 11382, 4.001005
37822, 529, 138, 139282, 11382, 4.001137
37823, 529, 138, 139291, 11382, 4.001269
37824, 529, 138, 139300, 11382, 4.001401
37825, 529, 138, 139309, 11382, 4.001533
37826, 529, 138, 139318, 11382, 4.001666
37827, 529, 138, 139327, 11382, 4.001798
37828, 529, 138, 139336, 11382, 4.001930
37829, 529, 138, 139345, 11382, 4.002062
37830, 529, 138, 139354, 11382, 4.002194
37831, 529, 138, 139363, 11382, 4.002326
37832, 529, 138, 139372, 11382, 4.002458
37833, 529, 138, 139380, 11382, 4.002564
37834, 529, 138, 139389, 11382, 4.002696
37835, 529, 138, 139398, 11382, 4.002828
37836, 529, 138, 139405, 11382, 4.002907
37837, 529, 138, 139414, 11382, 4.003039
37838, 538, 136, 139422, 11382, 4.003330
37839, 538, 136, 139429, 11382, 4.003409
37840, 538, 136, 139438, 11382, 4.003541
37841, 538, 136, 139446, 11382, 4.003647
37842, 538, 136, 139453, 11382, 4.003726
37843, 538, 136, 139461, 11382, 4.003832
37844, 538, 136, 139469, 11382, 4.003937
37845, 538, 136, 139477, 11382, 4.004043
37846, 538, 136, 139485, 11382, 4.004148
37847, 538, 136, 139493, 11382, 4.004254
37848, 538, 136, 139501, 11382, 4.004360
37849, 522, 138, 139510, 11382, 4.004122
37850, 522, 138, 139518, 11382, 4.004227
37853, 522, 138, 139521, 11387, 4.004121
37856, 522, 138, 139524, 11391, 4.003989
37857, 522, 138, 139533, 11391, 4.004121
37858, 522, 138, 139541, 11391, 4.004226
37859, 522, 138, 139550, 11391, 4.004358
